CNPJ,SEQUENCIAL_DO_CNPJ,DV_DO_CNPJ,NOME_INSTITUIÇÃO,SEGMENTO,CÓD_COMPE_AG,NOME_AGÊNCIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICíPIO,UF,DATA_INÍCIO,DDD,FONE,ID_INSTALAÇÃO,ID_INSTALAÇÃO_ESTBAN,MUNICIPIO_IBGE
60.701.190,411.0,29.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,454.0,SAO PAULO/RUA WANDERLEY,RUA CARDOSO DE ALMEIDA 1440,,,PERDIZES,05013-001,SAO PAULO,SP,1975-09-16 00:00:00,11.0,30034828.0,9999970092.0,A9970092,3550308.0
60.701.190,412.0,0.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,445.0,SP/IGUATEMI,AV. BRIGADEIRO FARIA LIMA 2255,,,JARDIM PAULISTANO,01451-001,SAO PAULO,SP,1966-12-16 00:00:00,11.0,30034828.0,9999970091.0,A9970091,3550308.0
60.701.190,413.0,90.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,466.0,SAO PAULO/LIMAO,RUA PROF. CELESTINO BOURROUL 949,,,LIMAO,02710-001,SAO PAULO,SP,1944-01-04 00:00:00,11.0,30034828.0,9999970090.0,A9970090,3550308.0
60.701.190,415.0,52.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,444.0,S.PAULO/R.TEODORO SAMPAIO,RUA TEODORO SAMPAIO 1756,,,PINHEIROS,05406-150,SAO PAULO,SP,1966-11-25 00:00:00,11.0,30034828.0,9999970088.0,A9970088,3550308.0
60.701.190,417.0,14.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,482.0,TRES LAGOAS-MS,AV. ANTONIO TRAJANO 190,,,CENTRO,79601-002,TRES LAGOAS,MS,1964-01-20 00:00:00,11.0,30034828.0,9999970086.0,A9970086,5008305.0
60.701.190,418.0,3.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,504.0,VOTUPORANGA-SP,RUA AMAZONAS 3262,,,CENTRO,15505-208,VOTUPORANGA,SP,1967-06-03 00:00:00,11.0,30034828.0,9999970085.0,A9970085,3557105.0
60.701.190,420.0,10.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,501.0,CAMACARI-BA,AV. GETULIO VARGAS 201,,,CENTRO,42800-190,CAMACARI,BA,1963-12-19 00:00:00,11.0,30034828.0,9999970083.0,A9970083,2905701.0
60.701.190,421.0,9.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,443.0,FEIRA DE SANTANA-BA,RUA CONSELHEIRO FRANCO 178,,,CENTRO,44015-907,FEIRA DE SANTANA,BA,1962-10-10 00:00:00,11.0,30034828.0,9999970082.0,A9970082,2910800.0
60.701.190,422.0,81.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,519.0,VITORIA DA CONQUISTA-BA,RUA FRANCISCO SANTOS 03,,,CENTRO,45100-000,VITORIA DA CONQUISTA,BA,1962-10-12 00:00:00,11.0,30034828.0,9999970081.0,A9970081,2933307.0
60.701.190,423.0,62.0,ITAÚ UNIBANCO S.A.,Banco Múltiplo,478.0,CABO-PE,AV PRESIDENTE VARGAS,320,,CENTRO,54515-070,CABO DE SANTO AGOSTINHO,PE,1963-02-08 00:00:00,11.0,30034828.0,9999970080.0,A9970080,2602902.0
